User_Id,Book_Id
9,8
15,398
37,7173
34,483
76,4250
29,3508
29,2304
113,6756
116,474
94,1847
94,1239
142,6932
149,8355
149,4388
149,3828
124,4531
175,3156
185,4421
112,217
10,4369
210,614
219,2498
229,1853
116,38
116,3404
245,1167
70,2727
162,5220
162,345
162,200
332,2798
270,4973
206,2498
364,741
332,5437
360,217
301,669
222,1238
187,2757
403,669
396,2757
418,42
439,249
399,5187
453,1238
322,9759
248,9025
506,179
506,456
506,2695
506,784
475,3828
516,3321
9,653
533,2903
530,9240
537,690
537,35
488,442
550,8923
497,7579
543,341
583,92
580,427
580,4972
513,2192
585,6704
590,43
603,516
610,233
618,2947
632,4221
651,706
656,25
662,45
448,10
488,854
688,2309
497,65
718,3320
744,881
744,3966
770,94
756,1878
697,653
811,173
497,48
850,5116
866,3469
871,287
871,4071
871,485
751,9438
892,969
900,489
900,7231
531,4671
506,951
969,1282
991,54
997,5216
1029,975
1007,13
253,1421
1038,2284
1043,211
1033,405
991,1970
1074,547
1074,186
1061,2499
1091,1189
547,7796
1089,1796
791,5500
7,4468
653,8893
1139,11
1135,1312
1046,6600
1046,3027
954,11
1135,1041
1147,407
1178,592
1236,426
11,3643
746,35
1302,9632
884,516
1030,436
1325,11
892,2284
533,2051
1346,1378
746,11
746,368
638,969
1357,2612
1254,483
1392,436
1430,1161
1430,1236
954,9299
1437,4979
1456,895
1403,1797
1437,1142
1291,737
804,229
1403,710
1504,5349
1515,101
1526,100
1528,2107
1571,3187
1547,4858
1619,233
1582,92
1582,369
636,1734
126,6046
1537,959
1650,1618
1489,5378
1681,3763
1555,8805
1403,1441
1488,8153
1403,122
1743,55
1743,92
1350,239
1124,1238
1037,181
578,225
1763,6274
1147,57
84,9606
1392,8232
1744,3788
1657,179
1582,432
1582,5
1726,372
1740,2578
1508,138
1835,6828
1403,374
1350,2691
1392,377
1885,3960
1889,94
627,918
1726,5756
1897,550
1897,4348
1033,5150
1872,303
1935,35
1089,758
1937,233
1582,3634
